date,year,month,decade,coal_ppi_nominal,coal_index_2024base,mom_pct,yoy_pct,rolling_vol_12m,shock,direction,event
1999-08-01,1999,8,1990,90.2,31.086386494768675,-0.22123893805310324,-0.5512679162072764,3.7694364399113063,False,down,
1999-09-01,1999,9,1990,88.6,30.534965004839293,-1.7738359201773912,-1.6648168701442811,3.8012813877500164,False,down,
1999-10-01,1999,10,1990,88.8,30.603892691080464,0.22573363431150906,-4.31034482758621,3.6801633374438736,False,up,
1999-11-01,1999,11,1990,89.2,30.741748063562813,0.45045045045044585,-5.307855626326963,3.6453254991479107,False,up,
1999-12-01,1999,12,1990,88.1,30.362645789236364,-1.2331838565022513,-9.268795056642642,3.481045078373684,False,down,
2000-01-01,2000,1,2000,88.5,30.500501161718706,0.4540295119182858,0.340136054421758,2.260587901687421,False,up,
2000-02-01,2000,2,2000,87.3,30.086935044271673,-1.3559322033898313,-6.531049250535337,1.3366989072619213,False,down,
2000-03-01,2000,3,2000,87.9,30.293718102995193,0.6872852233677174,-6.089743589743579,1.3679959229255432,False,up,
2000-04-01,2000,4,2000,90.0,31.017458808527497,2.3890784982935065,-4.761904761904767,1.5569515807139314,False,up,
2000-05-01,2000,5,2000,90.0,31.017458808527497,0.0,-1.5317286652078876,1.264765948914769,False,flat,
2000-06-01,2000,6,2000,88.8,30.603892691080464,-1.333333333333342,-3.6876355748373113,1.2672695843889485,False,down,
2000-07-01,2000,7,2000,89.4,30.810675749803984,0.6756756756756799,-1.106194690265483,1.1809008918817636,False,up,
2000-08-01,2000,8,2000,86.0,29.63890508370406,-3.803131991051456,-4.656319290465638,1.5973688796231997,True,down,
2000-09-01,2000,9,2000,86.3,29.742296613065815,0.34883720930232176,-2.5959367945823875,1.5462750228297732,False,up,
2000-10-01,2000,10,2000,86.3,29.742296613065815,0.0,-2.8153153153153143,1.5418872881230212,False,flat,
2000-11-01,2000,11,2000,86.8,29.914615828668744,0.5793742757821629,-2.6905829596412634,1.5474734431730888,False,up,
2000-12-01,2000,12,2000,88.1,30.362645789236364,1.497695852534564,0.0,1.5846339302955326,False,up,
2001-01-01,2001,1,2000,87.2,30.052471201151093,-1.0215664018161097,-1.4689265536723117,1.6043136480726738,False,down,
2001-02-01,2001,2,2000,95.6,32.94743402328032,9.633027522935777,9.507445589919804,3.1859423573527192,True,up,
2001-03-01,2001,3,2000,94.7,32.63725943519505,-0.9414225941422494,7.736063708759944,3.22582868378278,False,down,
2001-04-01,2001,4,2000,96.3,33.18868092512442,1.689545934530079,7.000000000000006,3.1981145556994925,False,up,
2001-05-01,2001,5,2000,100.3,34.56723464994787,4.153686396677059,11.444444444444436,3.3473449814054343,True,up,
