Month,lat,lon,ssh
2028-01,24.025,-94.95,-0.29545763612903225
2028-02,24.025,-94.95,-0.21258401068965516
2028-03,24.025,-94.95,-0.1801207429032258
2028-04,24.025,-94.95,-0.259074601
2028-05,24.025,-94.95,-0.19654205193548385
2028-06,24.025,-94.95,-0.19446868766666667
2028-07,24.025,-94.95,-0.05479079138709678
2028-08,24.025,-94.95,-0.14579190406451611
2028-09,24.025,-94.95,0.020461883533333333
2028-10,24.025,-94.95,-0.017659922522580647
2028-11,24.025,-94.95,-0.22535961100000002
2028-12,24.025,-94.95,-0.22073784774193547
2029-01,24.025,-94.95,-0.18981164419354837
2029-02,24.025,-94.95,-0.15769837357142857
2029-03,24.025,-94.95,-0.13652480893548385
2029-04,24.025,-94.95,-0.25591441766666667
2029-05,24.025,-94.95,-0.22546462322580646
2029-06,24.025,-94.95,-0.10619613165
2029-07,24.025,-94.95,0.08575255964516129
2029-08,24.025,-94.95,0.0825128535483871
2029-09,24.025,-94.95,-0.019919092293333333
2029-10,24.025,-94.95,-0.108183924
2029-11,24.025,-94.95,-0.22188696700000002
2029-12,24.025,-94.95,-0.24780631483870968
2030-01,24.025,-94.95,-0.2417346429032258
2030-02,24.025,-94.95,-0.15049586857142858
2030-03,24.025,-94.95,-0.19299364580645162
2030-04,24.025,-94.95,-0.074934208
2030-05,24.025,-94.95,-0.08826047422580646
2030-06,24.025,-94.95,-0.19201772433333333
2030-07,24.025,-94.95,-0.21889094903225806
2030-08,24.025,-94.95,-0.1904142541935484
2030-09,24.025,-94.95,-0.15815445133333333
2030-10,24.025,-94.95,-0.25978450258064517
2030-11,24.025,-94.95,-0.15522669153333332
2030-12,24.025,-94.95,-0.2007770758064516
2031-01,24.025,-94.95,-0.10513282016129032
2031-02,24.025,-94.95,-0.25992539285714283
2031-03,24.025,-94.95,-0.3304920983870968
2031-04,24.025,-94.95,-0.18060128733333333
2031-05,24.025,-94.95,-0.1006064155483871
2031-06,24.025,-94.95,-0.241834527
2031-07,24.025,-94.95,-0.2385567506451613
2031-08,24.025,-94.95,-0.19361875645161292
2031-09,24.025,-94.95,-0.213199297
2031-10,24.025,-94.95,-0.2274312
2031-11,24.025,-94.95,-0.15914371865000002
2031-12,24.025,-94.95,0.11306159996774193
2032-01,24.025,-94.95,0.04184711957741935
2032-02,24.025,-94.95,-0.24007505910344829
2032-03,24.025,-94.95,-0.2668424074193549
2032-04,24.025,-94.95,-0.2605025066666667
2032-05,24.025,-94.95,-0.2902848329032258
2032-06,24.025,-94.95,-0.263801291
2032-07,24.025,-94.95,-0.19993460129032256
2032-08,24.025,-94.95,-0.1031102409032258
2032-09,24.025,-94.95,-0.12883068013333332
2032-10,24.025,-94.95,-0.17792176129032258
2032-11,24.025,-94.95,-0.17921818666666667
2032-12,24.025,-94.95,0.020773675589677423
2033-01,24.025,-94.95,0.06947380028548387
2033-02,24.025,-94.95,-0.02013241556785714
2033-03,24.025,-94.95,-0.009920183238709678
2033-04,24.025,-94.95,-0.08890487056666667
2033-05,24.025,-94.95,-0.0887382941935484
2033-06,24.025,-94.95,-0.04514442556666667
2033-07,24.025,-94.95,-0.032624304525806454
2033-08,24.025,-94.95,0.03454621693548387
2033-09,24.025,-94.95,0.0038346464833333336
2033-10,24.025,-94.95,-0.15992521135483873
2033-11,24.025,-94.95,-0.242123111
2033-12,24.025,-94.95,-0.2645094512903226
2034-01,24.025,-94.95,-0.21156131258064517
2034-02,24.025,-94.95,-0.1435334955
2034-03,24.025,-94.95,-0.1748536408387097
2034-04,24.025,-94.95,-0.017794360023
2034-05,24.025,-94.95,-0.19636830741935482
2034-06,24.025,-94.95,-0.24662396
